0art0__kimina	0	23
0art0__lean-slides	0	13
1a776__IMO-	33	10
2540825244__m2r-group-7	279	212
a2435191__lean-logic-formalization	192	150
abdoo8080__lean-cvc5	0	290
acmepjz__lean-iwasawa	646	183
acmepjz__md4lean	0	72
adamtopaz__lean_extras	0	37
adamtopaz__NodeGraph	1	79
adomani__advents	3	1077
adomani__MA4N1_Theorem_proving_with_Lean	106	93
AdrienChampion__collChoSoWel	32	16
AdrienChampion__loadTerms.lean	0	6
AdrienChampion__safeIdx	9	117
AeneasVerif__icfp-tutorial	40	61
AfonsoBitoque__LeanServer	929	1943
agenticsnz__unsorry	11164	793
ah1112__synthetic_euclid_4	303	13
ahhwuhu__zeta_3_irrational	121	11
Alektronnik__Quantum4Lean	38	474
alerad__leancert	2501	3472
AlexBrodbelt__metric-spaces-and-topology-game	26	11
AlexeyMilovanov__kolmogorov-complexity-lean	2029	566
alexf91__lean4-ctypes	0	29
alexjbest__leaff	5	104
alexjgreig__QHL-Lean	4	73
alexkeizer__QPFTypes	28	235
AlexKontorovich__CoveringSpacesProject	135	89
AlexKontorovich__PrimeNumberTheoremAnd	8300	756
AlexKontorovich__RealAnalysisGame	37	36
AlexLoitzl__pumping_cfg	226	69
algebraic-dev__colorized	0	10
algebraic-dev__http	0	340
algebraic-dev__parse	0	170
alma-n__ConstructiveLogicCourseGame	0	3
alok__AsciiPlot	0	25
alok__ConvolutedProofs	11	1
alok__HexLuthor	0	35
alok__lean-autograd	0	7
alok__lean-inf	2	159
alok__LeanBench	0	606
alok__LeanDidax2	0	284
alok__LeanPlot	0	485
alok__Leantix	0	18
alok__MusicNotation	0	71
alok__TetraGray	2	254
amarmaduke__lean-stlc	65	84
amarmaduke__lean-subst	282	229
amellendijk__selberg-sieve4	213	51
ammkrn__lean-url	1	171
ammkrn__printiest	0	103
ammkrn__timelib	281	375
AmosNico__validator	281	411
Anderssorby__SDL.lean	0	104
andrejbauer__lean2sexp	0	22
andrejbauer__partial-combinatory-algebras	11	28
AnirudhG07__LeanHuffmanCoding	185	142
anlucia__ChromaticPolynomial	14	16
anoma__goose-lean	3	758
anoma__juvix-lean	168	54
ANR-FALSE__PadicModForms	552	112
Antoine-dSG__frieze_patterns	13	22
AntoineChambert-Loir__DividedPowers4	4145	1496
anurudhp__aoc2022	1	303
aochagavia__tic-tac-toe-lean	25	36
apnelson1__Matroid	16323	2675
arademaker__bignum	69	169
arademaker__delphin	0	76
arademaker__fad	77	610
arademaker__vizagrams	0	505
argumentcomputer__Bellanova.lean	0	17
argumentcomputer__Blake3.lean	1	59
argumentcomputer__FFaCiL.lean	0	159
argumentcomputer__Http.lean	0	115
argumentcomputer__Ipld.lean	0	185
argumentcomputer__ix	4220	6511
argumentcomputer__LSpec	0	212
argumentcomputer__Lurk.lean	0	345
argumentcomputer__Megaparsec.lean	0	191
argumentcomputer__Nova.lean	0	61
argumentcomputer__OpenSSL.lean	0	6
argumentcomputer__Poseidon.lean	0	163
argumentcomputer__RustFFI.lean	0	3
argumentcomputer__Spark.lean	0	13
argumentcomputer__straume	0	128
argumentcomputer__Vero	0	143
argumentcomputer__Wasm.lean	0	463
argumentcomputer__yatima	183	1565
argumentcomputer__YatimaStdLib.lean	15	645
argumentcomputer__ZKSnark.lean	124	127
arthur-adjedj__Leanduction	0	44
Arthur742Ramos__Metatheory	3920	2848
arthurpaulino__FxyLang	30	112
arthurpaulino__LeanMusic	8	19
arthurpaulino__LeanMySQL	1	100
arthurpaulino__LeanREPL	0	9
arthurpaulino__NumLean	0	46
arthurpaulino__viper	0	51
artie2000__real_closed_field	495	128
astrainfinita__Algorithm	359	269
atlas-computing-org__CoqLeanTranslation	2	45
ATOMSLab__LeanDimensionalAnalysis	95	155
ATOMSLab__LeanLJ	30	90
atrieu__lean-cryptolib	42	46
austinletson__use-lean-standard-action-with-bare-project	0	2
auto-res__lean-rademacher	389	99
avigad__lamr	29	471
avigad__LeanSudoku	29	39
avigad__verification_demo	18	33
awodey__joyal	3	11
AxiomMath__AgreeToDisagree	106	39
AxiomMath__dead-ends	178	33
AxiomMath__fel-polynomial	176	40
AxiomMath__lattice-triangle	516	22
AxiomMath__partial-regularity	255	20
AxiomMath__PartitionPolynomial	743	139
AxiomMath__Putnam2025	458	90
b-mehta__ABC-Exceptions	193	37
b-mehta__AharoniKorman	85	17
b-mehta__formalising-mathematics-notes	159	123
b-mehta__PrimeCert	96	34
Bacon-labs__tamago	641	563
Beneficial-AI-Foundation__curve25519-dalek-lean-verify	1024	863
Beneficial-AI-Foundation__FloatSpec	1950	1305
Beneficial-AI-Foundation__NumpySpec	52	405
Beneficial-AI-Foundation__PostQuantumeXtendedDiffieHellman-model	17	78
Beneficial-AI-Foundation__vericoding	23009	24787
bergmannjg__leanCurl	0	74
bergmannjg__regex	355	914
bergmannjg__time	220	355
Bergschaf__banach-tarski	67	121
Bergschaf__lean-banach-tarski	6	24
Bergschaf__Localic-Caratheodory-Extensions	147	85
bjoernkjoshanssen__interest	260	93
bjoernkjoshanssen__math654	14	29
bkase__verified-gpu	154	147
BochaoKong__nullstellensatz	355	145
BoltonBailey__formal-snarks-project	103	394
brettkoonce__lean4-mlir	7741	6156
bridgekat__filter-game	102	40
BRonen__sqlite-lean	0	76
CAIMEOX__json-schema-lean	0	154
cameronfreer__exchangeability	410	95
CarlKCarlK__range-set-blaze-lean	87	61
carlok__leanfrontier	195	54
cavargar__SHSLib	2187	554
