url	directory	proof_assistant	transport	sync_group	discovered_via
https://github.com/acl2/acl2	port-sources/acl2__acl2	acl2	git	cross-prover	registry
https://github.com/agda/agda-categories	port-sources/agda__agda-categories	agda	git	cross-prover	registry
https://github.com/agda/agda-stdlib	port-sources/agda__agda-stdlib	agda	git	cross-prover	registry
https://github.com/agda/cubical	port-sources/agda__cubical	agda	git	cross-prover	registry
https://github.com/HoTT-Intro/Agda	port-sources/HoTT-Intro__Agda	agda	git	cross-prover	registry
https://github.com/martinescardo/TypeTopology	port-sources/martinescardo__TypeTopology	agda	git	cross-prover	registry
https://github.com/the1lab/1lab	port-sources/the1lab__1lab	agda	git	cross-prover	registry
https://github.com/UniMath/agda-unimath	port-sources/UniMath__agda-unimath	agda	git	cross-prover	registry
https://github.com/CakeML/candle	port-sources/CakeML__candle	hol-light	git	cross-prover	registry
https://github.com/flyspeck/flyspeck	port-sources/flyspeck__flyspeck	hol-light	git	cross-prover	registry
https://github.com/HOLMS-lib/HOLMS	port-sources/HOLMS-lib__HOLMS	hol-light	git	cross-prover	registry
https://github.com/jrh13/hol-light	port-sources/jrh13__hol-light	hol-light	git	cross-prover	registry
https://github.com/CakeML/cakeml	port-sources/CakeML__cakeml	hol4	git	cross-prover	registry
https://github.com/CakeML/game-of-life	port-sources/CakeML__game-of-life	hol4	git	cross-prover	registry
https://github.com/HOL-Theorem-Prover/HOL	port-sources/HOL-Theorem-Prover__HOL	hol4	git	cross-prover	registry
https://github.com/kth-step/HOL4P4	port-sources/kth-step__HOL4P4	hol4	git	cross-prover	registry
https://github.com/isabelle-prover/mirror-afp-devel	port-sources/isabelle-prover__mirror-afp-devel	isabelle	git	cross-prover	registry
https://github.com/isabelle-prover/mirror-isabelle	port-sources/isabelle-prover__mirror-isabelle	isabelle	git	cross-prover	registry
https://github.com/seL4/l4v	port-sources/seL4__l4v	isabelle	git	cross-prover	registry
https://github.com/1a776/IMO-	reservoir-sources/1a776__IMO-	lean	git	bulk	reservoir
https://github.com/2540825244/m2r-group-7	reservoir-sources/2540825244__m2r-group-7	lean	git	bulk	reservoir
https://github.com/a2435191/lean-logic-formalization	reservoir-sources/a2435191__lean-logic-formalization	lean	git	bulk	reservoir
https://github.com/abdoo8080/lean-cvc5	reservoir-sources/abdoo8080__lean-cvc5	lean	git	bulk	reservoir
https://github.com/acmepjz/lean-iwasawa	reservoir-sources/acmepjz__lean-iwasawa	lean	git	bulk	reservoir
https://github.com/adomani/advents	reservoir-sources/adomani__advents	lean	git	bulk	reservoir
https://github.com/adomani/MA4N1_Theorem_proving_with_Lean	reservoir-sources/adomani__MA4N1_Theorem_proving_with_Lean	lean	git	bulk	reservoir
https://github.com/AdrienChampion/collChoSoWel	reservoir-sources/AdrienChampion__collChoSoWel	lean	git	bulk	reservoir
https://github.com/AdrienChampion/safeIdx	reservoir-sources/AdrienChampion__safeIdx	lean	git	bulk	reservoir
https://github.com/AeneasVerif/icfp-tutorial	reservoir-sources/AeneasVerif__icfp-tutorial	lean	git	bulk	reservoir
https://github.com/AfonsoBitoque/LeanServer	reservoir-sources/AfonsoBitoque__LeanServer	lean	git	bulk	reservoir
https://github.com/agenticsnz/unsorry	reservoir-sources/agenticsnz__unsorry	lean	git	bulk	reservoir
https://github.com/ah1112/synthetic_euclid_4	reservoir-sources/ah1112__synthetic_euclid_4	lean	git	bulk	reservoir
https://github.com/ahhwuhu/zeta_3_irrational	reservoir-sources/ahhwuhu__zeta_3_irrational	lean	git	bulk	reservoir
