Foundations and type theory	category-theory	Category theory
Foundations and type theory	higher-category-theory	Higher category theory
Foundations and type theory	logic	Logic
Foundations and type theory	set-theory	Set theory
Foundations and type theory	type-theory	Type theory
Foundations and type theory	homotopy-type-theory	Homotopy type theory
Foundations and type theory	modal-type-theory	Modal type theory
Foundations and type theory	model-theory	Model theory
Foundations and type theory	domain-theory	Domain theory
Foundations and type theory	order-theory	Order theory
Foundations and type theory	computability	Computability
Algebra	universal-algebra	Universal algebra
Algebra	finite-algebra	Finite algebraic structures
Algebra	group-theory	Group theory
Algebra	finite-group-theory	Finite group theory
Algebra	higher-group-theory	Higher group theory
Algebra	ring-theory	Ring theory
Algebra	commutative-algebra	Commutative algebra
Algebra	field-theory	Field theory
Algebra	linear-algebra	Linear algebra
Algebra	representation-theory	Representation theory
Algebra	homological-algebra	Homological algebra
Algebra	lie-theory	Lie theory
Algebra	quadratic-forms	Quadratic forms
Algebra	lattices	Lattices
Number theory	elementary-number-theory	Elementary number theory
Number theory	algebraic-number-theory	Algebraic number theory
Number theory	analytic-number-theory	Analytic number theory
Number theory	arithmetic-geometry	Arithmetic geometry
Number theory	p-adic-mathematics	p-adic number theory and geometry
Number theory	modular-forms	Modular forms
Number theory	elliptic-curves	Elliptic curves
Geometry and topology	algebraic-geometry	Algebraic geometry
Geometry and topology	topology	Topology
Geometry and topology	algebraic-topology	Algebraic topology
Geometry and topology	homotopy-theory	Homotopy theory
Geometry and topology	differential-geometry	Differential geometry
Geometry and topology	synthetic-geometry	Synthetic geometry
Geometry and topology	discrete-geometry	Discrete geometry
Geometry and topology	convex-geometry	Convex geometry
Analysis and probability	real-analysis	Real analysis
Analysis and probability	complex-analysis	Complex analysis
Analysis and probability	functional-analysis	Functional analysis
Analysis and probability	harmonic-analysis	Harmonic analysis
Analysis and probability	measure-theory	Measure theory
Analysis and probability	probability	Probability
Analysis and probability	stochastic-processes	Stochastic processes
Analysis and probability	metric-spaces	Metric spaces
Analysis and probability	spectral-theory	Spectral theory
Analysis and probability	dynamical-systems	Dynamical systems
Analysis and probability	operator-algebras	Operator algebras
Analysis and probability	partial-differential-equations	Partial differential equations
Analysis and probability	statistics	Statistics
Analysis and probability	information-theory	Information theory
Analysis and probability	financial-mathematics	Financial mathematics
Combinatorics	combinatorics	Combinatorics
Combinatorics	graph-theory	Graph theory
Combinatorics	matroid-theory	Matroid theory
Combinatorics	enumerative-combinatorics	Enumerative combinatorics
Combinatorics	additive-combinatorics	Additive combinatorics
Combinatorics	game-theory	Game theory
Computation and verification	optimization	Optimization
Computation and verification	numerical-analysis	Numerical analysis
Computation and verification	scientific-computing	Scientific computing
Computation and verification	quantum-information	Quantum information
Computation and verification	mathematical-physics	Mathematical physics
Computation and verification	formal-semantics	Semantics of programming languages and systems
Computation and verification	programming-languages	Programming languages
Computation and verification	verification	Program verification
Computation and verification	cryptography	Cryptography
Computation and verification	computer-algebra	Computer algebra
Computation and verification	automata-theory	Automata theory
Computation and verification	formal-language-theory	Formal language theory
